Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Songhees First Nation,,[151],651,Songhees First Nation
"Songs, Maya",,[150],650,"Songs, Maya"
Soowahlie (First Nation),,[151],651,Soowahlie (First Nation)
South Island Métis Nation,,[151],651,South Island Métis Nation
South Naknek Village,,[151],651,South Naknek Village
Southeastern Mvskoke Nation,,[151],651,Southeastern Mvskoke Nation
Southeastern Pomo language,,[150],650,Southeastern Pomo language
Southern Paiute baskets,,[150],650,Southern Paiute baskets
Southern Paiute Indians,,[150],650,Southern Paiute Indians
Southern Paiute language,,[150],650,Southern Paiute language
Southern Ute Indian Reservation (Colo.),,[151],651,Southern Ute Indian Reservation (Colo.)
"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",,[151],651,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado"
Spanish language—Foreign elements—Maya,y,[150],650,Spanish language ǂx Foreign elements ǂx Maya
Spanish language—Foreign elements—Mayan,y,[150],650,Spanish language ǂx Foreign elements ǂx Mayan
Spanish language—Foreign words and phrases—Indian,y,[150],650,Spanish language ǂx Foreign words and phrases ǂx Indian
Spanish language—Foreign words and phrases—Maya,y,[150],650,Spanish language ǂx Foreign words and phrases ǂx Maya
Spanish language—Influence on Maya,y,[150],650,Spanish language ǂx Influence on Maya
Spanish language—Influence on Mayan,y,[150],650,Spanish language ǂx Influence on Mayan
Spanish language—Study and teaching (Elementary)—Mayan speakers,y,[150],650,Spanish language ǂx Study and teaching (Elementary) ǂx Mayan speakers
Spanish language—Study and teaching—Maya speakers,y,[150],650,Spanish language ǂx Study and teaching ǂx Maya speakers
Spanish language—Study and teaching—Mayan speakers,y,[150],650,Spanish language ǂx Study and teaching ǂx Mayan speakers
"Speeches, addresses, etc., American—Indian authors",y,[150],650,"Speeches, addresses, etc., American ǂx Indian authors"
"Speeches, addresses, etc., Indian",,[150],650,"Speeches, addresses, etc., Indian"
"Speeches, addresses, etc., Pima",,[150],650,"Speeches, addresses, etc., Pima"
Spirit Adoption Ceremony (Tutelo rite),,[150],650,Spirit Adoption Ceremony (Tutelo rite)
"Spirit Lake Massacre, Iowa, 1857",,[150],650,"Spirit Lake Massacre, Iowa, 1857"
"Spirit Lake Tribe, North Dakota",,[151],651,"Spirit Lake Tribe, North Dakota"
Splatsin (First Nation),,[151],651,Splatsin (First Nation)
Spokane Indian Reservation (Wash.),,[151],651,Spokane Indian Reservation (Wash.)
Spokane Indians,,[150],650,Spokane Indians
Spokane language,,[150],650,Spokane language
"Spokane Tribe of the Spokane Reservation, Washington",,[151],651,"Spokane Tribe of the Spokane Reservation, Washington"
Sportsman's Lodge Site (Alaska),,[151],651,Sportsman's Lodge Site (Alaska)
Spuzzum (First Nation),,[151],651,Spuzzum (First Nation)
Squamish (First Nation),,[151],651,Squamish (First Nation)
Squamish Indians (B.C.),,[150],650,Squamish Indians (B.C.)
Squamish language (B.C.),,[150],650,Squamish language (B.C.)
Squaxin Island Indians,,[150],650,Squaxin Island Indians
Squaxin Island Reservation (Wash.),,[151],651,Squaxin Island Reservation (Wash.)
Squaxin Island Tribe of the Squaxin Island Reservation,,[151],651,Squaxin Island Tribe of the Squaxin Island Reservation
"Squaxin Island Tribe of the Squaxin Island Reservation, Washington",,[151],651,"Squaxin Island Tribe of the Squaxin Island Reservation, Washington"
Squiala First Nation,,[151],651,Squiala First Nation
"St. Clair's Campaign, 1791",,[150],650,"St. Clair's Campaign, 1791"
"St. Clair's Defeat, Ohio, 1791",,[150],650,"St. Clair's Defeat, Ohio, 1791"
St. Croix Chippewa Indians of Wisconsin,,[151],651,St. Croix Chippewa Indians of Wisconsin
St. Mary's (First Nation : British Columbia),,[151],651,St. Mary's (First Nation : British Columbia)
St. Regis Band of Mohawk Indians of New York,,[151],651,St. Regis Band of Mohawk Indians of New York
St. Theresa Point First Nation,,[151],651,St. Theresa Point First Nation
Standing Buffalo Dakota Nation,,[151],651,Standing Buffalo Dakota Nation
Standing Rock Indian Reservation (N.D. and S.D.),,[151],651,Standing Rock Indian Reservation (N.D. and S.D.)
Standing Rock Sioux Tribe of North & South Dakota,,[151],651,Standing Rock Sioux Tribe of North & South Dakota
Stanjikoming First Nation,,[151],651,Stanjikoming First Nation
Star Blanket Cree Nation,,[151],651,Star Blanket Cree Nation
Stebbins Community Association,,[151],651,Stebbins Community Association
Steilacoom Indians,,[150],650,Steilacoom Indians
Stellat'en First Nation,,[151],651,Stellat'en First Nation
Stillaguamish Tribe of Indians of Washington,,[151],651,Stillaguamish Tribe of Indians of Washington
Stillaguamish Tribe of Washington,,[151],651,Stillaguamish Tribe of Washington
Stillaquamish Indians,,[150],650,Stillaquamish Indians
Stó:lō Indians,,[150],650,Stó:lō Indians
Stockbridge Indians,,[150],650,Stockbridge Indians
"Stockbridge Munsee Community, Wisconsin",,[151],651,"Stockbridge Munsee Community, Wisconsin"
Stockbridge Tribe,,[151],651,Stockbridge Tribe
Stockbridge-Munsee Community of Mohican Indians of Wisconsin,,[151],651,Stockbridge-Munsee Community of Mohican Indians of Wisconsin
Stockbridge-Munsee Reservation (Wis.),,[151],651,Stockbridge-Munsee Reservation (Wis.)
Stomp dance,,[150],650,Stomp dance
Stone Indian Band,,[151],651,Stone Indian Band
Stoney (First Nation),,[151],651,Stoney (First Nation)
Stoney Creek Indian Reserve (B.C.),,[151],651,Stoney Creek Indian Reserve (B.C.)
Stony Rapids Indian Band,,[151],651,Stony Rapids Indian Band
Straits Salish language,,[150],650,Straits Salish language
Sts'ailes (First Nation),,[151],651,Sts'ailes (First Nation)
Stswecem'c Xgat'tem First Nation,,[151],651,Stswecem'c Xgat'tem First Nation
Sturgeon Lake Band,,[151],651,Sturgeon Lake Band
Sturgeon Lake Cree Nation,,[151],651,Sturgeon Lake Cree Nation
Stz'uminus First Nation,,[151],651,Stz'uminus First Nation
Subject headings—Eskimos,y,[150],650,Subject headings ǂx Eskimos
Subject headings—Indians,y,[150],650,Subject headings ǂx Indians
Subject headings—Indians of North America,y,[150],650,Subject headings ǂx Indians of North America
Sucker Creek First Nation,,[151],651,Sucker Creek First Nation
"Sullivan's Indian Campaign, 1779",,[150],650,"Sullivan's Indian Campaign, 1779"
"Sully Expeditions, 1863-1865",,[150],650,"Sully Expeditions, 1863-1865"
Sulphur Bank Rancheria (Calif.),,[151],651,Sulphur Bank Rancheria (Calif.)
Sumas First Nation,,[151],651,Sumas First Nation
"Summit Springs, Battle of, Colo., 1869",,[150],650,"Summit Springs, Battle of, Colo., 1869"
Sumo Indians,,[150],650,Sumo Indians
Sumo language,,[150],650,Sumo language
Sumo mythology,,[150],650,Sumo mythology
Sun dance,,[150],650,Sun dance
Sun'aq Tribe of Kodiak,,[151],651,Sun'aq Tribe of Kodiak
Sunchild First Nation,,[151],651,Sunchild First Nation
Sunflower dance,,[150],650,Sunflower dance
Sunset Point Site (Calif.),,[151],651,Sunset Point Site (Calif.)
Suquamish dialect (Wash.),,[150],650,Suquamish dialect (Wash.)
"Suquamish Indian Tribe of the Port Madison Reservation, Washington",,[151],651,"Suquamish Indian Tribe of the Port Madison Reservation, Washington"
Suquamish Indians,,[150],650,Suquamish Indians
Suquamish philosophy,,[150],650,Suquamish philosophy
Surui Indians,,[150],650,Surui Indians
Surui mythology,,[150],650,Surui mythology
"Susanville Indian Rancheria, California",,[151],651,"Susanville Indian Rancheria, California"
Susquehanna Indians,,[150],650,Susquehanna Indians
Susquehanna language,,[150],650,Susquehanna language
Suya Indians,,[150],650,Suya Indians
Swan Creek and Black River Bands of Chippewa Indians,,[151],651,Swan Creek and Black River Bands of Chippewa Indians
Swan Creek Black River Confederated Ojibwa Tribes of Michigan,,[151],651,Swan Creek Black River Confederated Ojibwa Tribes of Michigan
Swan Lake First Nation,,[151],651,Swan Lake First Nation
Swan River First Nation,,[151],651,Swan River First Nation
Sweatbaths,,[150],650,Sweatbaths
Sweetgrass First Nation,,[151],651,Sweetgrass First Nation
Swinomish Indian Tribal Community,,[151],651,Swinomish Indian Tribal Community
Swinomish Indians,,[150],650,Swinomish Indians
"Swinomish Indians of the Swinomish Reservation, Washington",,[151],651,"Swinomish Indians of the Swinomish Reservation, Washington"
Swinomish Reservation (Wash.),,[151],651,Swinomish Reservation (Wash.)
T'it'q'et (First Nation),,[151],651,T'it'q'et (First Nation)
T'Sou-ke First Nation,,[151],651,T'Sou-ke First Nation
Ta'an Kwäch'än (First Nation),,[151],651,Ta'an Kwäch'än (First Nation)
Tabajara Indians,,[150],650,Tabajara Indians
Tabeguache Band of Utah Indians,,[151],651,Tabeguache Band of Utah Indians
Tabeguache Indians,,[150],650,Tabeguache Indians
Table Bluff Reservation-Wiyot Tribe,,[151],651,Table Bluff Reservation-Wiyot Tribe
Table Mountain Rancheria,,[151],651,Table Mountain Rancheria
Table Mountain Rancheria of California,,[151],651,Table Mountain Rancheria of California
Tacana Indians,,[150],650,Tacana Indians
Tacana mythology,,[150],650,Tacana mythology
Tacanan languages,,[150],650,Tacanan languages
Taensa Indians,,[150],650,Taensa Indians
Taensa language,,[150],650,Taensa language
Tagish Indians,,[150],650,Tagish Indians
Tagish language,,[150],650,Tagish language
Tahltan cooking,,[150],650,Tahltan cooking
Tahltan First Nation,,[151],651,Tahltan First Nation
Tahltan Indians,,[150],650,Tahltan Indians
Taino art,,[150],650,Taino art
Taino Indians,,[150],650,Taino Indians
Taino Indians in literature,,[150],650,Taino Indians in literature
Taino language,,[150],650,Taino language
Taino mythology,,[150],650,Taino mythology
Taino pottery,,[150],650,Taino pottery
Taino sculpture,,[150],650,Taino sculpture
Taino women,,[150],650,Taino women
Taino wood-carving,,[150],650,Taino wood-carving
Tairona goldwork,,[150],650,Tairona goldwork
Tairona Indians,,[150],650,Tairona Indians
Tairona mythology,,[150],650,Tairona mythology
Tairona pottery,,[150],650,Tairona pottery
Taiwano dialect,,[150],650,Taiwano dialect
Taiwano Indians,,[150],650,Taiwano Indians
Takelma Indians,,[150],650,Takelma Indians
Takelma language,,[150],650,Takelma language
Takla Lake First Nation,,[151],651,Takla Lake First Nation
Takotna Village,,[151],651,Takotna Village
Taku River Tlingit First Nation,,[151],651,Taku River Tlingit First Nation
Talamanca Indians,,[150],650,Talamanca Indians
Talamanca language,,[150],650,Talamanca language
Talapoosa Indians,,[150],650,Talapoosa Indians
Tallán Indians,,[150],650,Tallán Indians
Tallcree (First Nation),,[151],651,Tallcree (First Nation)
Taloyoak (Inuit community),,[151],651,Taloyoak (Inuit community)
Tamanac Indians,,[150],650,Tamanac Indians
Tanana cosmology,,[150],650,Tanana cosmology
Tanana Indians,,[150],650,Tanana Indians
Tangirnaq Native Village,,[151],651,Tangirnaq Native Village
Tangle Lakes National Register Archaeological District (Alaska),,[151],651,Tangle Lakes National Register Archaeological District (Alaska)
Tanimuca-Retuama Indians,,[150],650,Tanimuca-Retuama Indians
Tanimuca-Retuama language,,[150],650,Tanimuca-Retuama language
Tanimuca-Retuama mythology,,[150],650,Tanimuca-Retuama mythology
Tanoan Indians,,[150],650,Tanoan Indians
Tanoan languages,,[150],650,Tanoan languages
Taos (N.M.),,[151],651,Taos (N.M.)
Taos art,,[150],650,Taos art
Taos dance,,[150],650,Taos dance
Taos Indians,,[150],650,Taos Indians
Taos Pueblo (N.M.),,[151],651,Taos Pueblo (N.M.)
Taos school of art,,[150],650,Taos school of art
Taos women,,[150],650,Taos women
Tapajó Indians,,[150],650,Tapajó Indians
Tapajó pottery,,[150],650,Tapajó pottery
Tapajó sculpture,,[150],650,Tapajó sculpture
Taparita dialect,,[150],650,Taparita dialect
Tapirapé Indians,,[150],650,Tapirapé Indians
Tapuya Indians,,[150],650,Tapuya Indians
Tarahumara architecture,,[150],650,Tarahumara architecture
Tarahumara cosmology,,[150],650,Tarahumara cosmology
Tarahumara dance,,[150],650,Tarahumara dance
Tarahumara Indians,,[150],650,Tarahumara Indians
Tarahumara language,,[150],650,Tarahumara language
Tarahumara masks,,[150],650,Tarahumara masks
Tarahumara mythology,,[150],650,Tarahumara mythology
Tarahumara philosophy,,[150],650,Tarahumara philosophy
Tarahumara pottery,,[150],650,Tarahumara pottery
Tarahumara textile fabrics,,[150],650,Tarahumara textile fabrics
Tarascan language,,[150],650,Tarascan language
Tarasco art,,[150],650,Tarasco art
Tarasco Indians,,[150],650,Tarasco Indians
Tarasco painting,,[150],650,Tarasco painting
Tarasco pottery,,[150],650,Tarasco pottery
Tariana Indians,,[150],650,Tariana Indians
Tariana language,,[150],650,Tariana language
Tariana mythology,,[150],650,Tariana mythology
Tarka,,[150],650,Tarka
Tasiujaq (Inuit community),,[151],651,Tasiujaq (Inuit community)
Tataskweyak Cree Nation,,[151],651,Tataskweyak Cree Nation
Tatham Mound (Fla.),,[151],651,Tatham Mound (Fla.)
Tawahka Indians,,[150],650,Tawahka Indians
Tawakoni Indians,,[150],650,Tawakoni Indians
Tawakoni Tribe,,[151],651,Tawakoni Tribe
Taykwa Tagamou Nation,,[151],651,Taykwa Tagamou Nation
Tchefuncte culture,,[150],650,Tchefuncte culture
"Te-Moak Bands of the Western Shoshone Indians, Nevada",,[151],651,"Te-Moak Bands of the Western Shoshone Indians, Nevada"
Te-Moak Tribe of Western Shoshone Indians of Nevada,,[151],651,Te-Moak Tribe of Western Shoshone Indians of Nevada
Teco Indians,,[150],650,Teco Indians
Tectiteco language,,[150],650,Tectiteco language
Tecuexe Indians,,[150],650,Tecuexe Indians
"Tecumseh's War, 1811-1817",,[150],650,"Tecumseh's War, 1811-1817"
Tehuelche Indians,,[150],650,Tehuelche Indians
Tehuelche mythology,,[150],650,Tehuelche mythology
Telida Village,,[151],651,Telida Village
Temagami First Nation,,[151],651,Temagami First Nation
Tenetehara astronomy,,[150],650,Tenetehara astronomy
Tenetehara Indians,,[150],650,Tenetehara Indians
Tenetehara language,,[150],650,Tenetehara language
Tenharim language,,[150],650,Tenharim language
Tenino Indians,,[150],650,Tenino Indians
Teoc Creek Site (Miss.),,[151],651,Teoc Creek Site (Miss.)
Tepanecas,,[150],650,Tepanecas
Tepecano Indians,,[150],650,Tepecano Indians
Tepehua Indians,,[150],650,Tepehua Indians
Tepehua language,,[150],650,Tepehua language
Tepehua mythology,,[150],650,Tepehua mythology
Tepehua textile fabrics,,[150],650,Tepehua textile fabrics
Tepehuan cooking,,[150],650,Tepehuan cooking
Tepehuan Indians,,[150],650,Tepehuan Indians
Tepehuan language,,[150],650,Tepehuan language
Tepehuan philosophy,,[150],650,Tepehuan philosophy
Teque Indians,,[150],650,Teque Indians
Tequesta Indians,,[150],650,Tequesta Indians
Teremembé Indians,,[150],650,Teremembé Indians
Terena Indians,,[150],650,Terena Indians
Terena language,,[150],650,Terena language
Terena mythology,,[150],650,Terena mythology
Terra Indígena do Pradinho (Brazil),,[151],651,Terra Indígena do Pradinho (Brazil)
Terra Indígena Igarapé do Caucho (Brazil),,[151],651,Terra Indígena Igarapé do Caucho (Brazil)
Terra Indígena Igarapé Lourdes (Brazil),,[151],651,Terra Indígena Igarapé Lourdes (Brazil)
Terra Indígena Ipixuna (Brazil),,[151],651,Terra Indígena Ipixuna (Brazil)
Terra Indígena Pimentel Barbosa (Brazil),,[151],651,Terra Indígena Pimentel Barbosa (Brazil)
Terra Indígena Por Fi Ga (Brazil),,[151],651,Terra Indígena Por Fi Ga (Brazil)
Terra Indígena Raposa Serra do Sol (Brazil),,[151],651,Terra Indígena Raposa Serra do Sol (Brazil)
Terra Indígena Wedezé (Brazil),,[151],651,Terra Indígena Wedezé (Brazil)
Terraba Indians,,[150],650,Terraba Indians
Terremote Tlatenco Site (Mexico),,[151],651,Terremote Tlatenco Site (Mexico)
Territorio Indígena Parque Nacional Isiboro-Sécure (Bolivia),,[151],651,Territorio Indígena Parque Nacional Isiboro-Sécure (Bolivia)
Teslin Tlingit Council,,[151],651,Teslin Tlingit Council
Tesuque Pueblo (N.M.),,[151],651,Tesuque Pueblo (N.M.)
Teton Band of the Sioux Tribe of Indians,,[151],651,Teton Band of the Sioux Tribe of Indians
Tewa architecture,,[150],650,Tewa architecture
Tewa art,,[150],650,Tewa art
Tewa dance,,[150],650,Tewa dance
Tewa Indians,,[150],650,Tewa Indians
Tewa language,,[150],650,Tewa language
Tewa mythology,,[150],650,Tewa mythology
Tewa painting,,[150],650,Tewa painting
Tewa pottery,,[150],650,Tewa pottery
Tewa textile fabrics,,[150],650,Tewa textile fabrics
Tewa women,,[150],650,Tewa women
Tezcucan Indians,,[150],650,Tezcucan Indians
Thessalon First Nation,,[151],651,Thessalon First Nation
"Thlopthlocco Tribal Town, Oklahoma",,[151],651,"Thlopthlocco Tribal Town, Oklahoma"
"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",,[151],651,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota"
Three Saints Site (Alaska),,[151],651,Three Saints Site (Alaska)
Three Turkey House Site (Ariz.),,[151],651,Three Turkey House Site (Ariz.)
Thule culture,,[150],650,Thule culture
Thunderchild First Nation,,[151],651,Thunderchild First Nation
"Ticonderoga (N.Y.)—History—French and Indian War, 1754-1763",y,[151],651,"Ticonderoga (N.Y.) ǂx History ǂy French and Indian War, 1754-1763"
"Ticonderoga, Battle near, N.Y., 1757",,[150],650,"Ticonderoga, Battle near, N.Y., 1757"
"Ticonderoga, Battle of, N.Y., 1758",,[150],650,"Ticonderoga, Battle of, N.Y., 1758"
"Tigara Site (Point Hope, Alaska)",,[151],651,"Tigara Site (Point Hope, Alaska)"
Tillamook Indians,,[150],650,Tillamook Indians
Tillamook language,,[150],650,Tillamook language
Timbira Indians,,[150],650,Timbira Indians
